"Control_1"	"Control_2"	"Control_3"	"Control_4"	"Du_1"	"Du_2"	"Du_3"	"Du_4"	"name"
"D9QZM8"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZM8_CLOSW Energy-coupling factor transporter ATP-binding protein EcfA OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=ecfA PE=3 SV=1"
"D9QZN1"	1601400	2281400	1561600	3625000	4805500	9984900	8347200	7649900	"D9QZN1_CLOSW 50S ribosomal protein L17 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplQ PE=3 SV=1"
"D9QZN2"	784970	761240	568660	1144700	9562600	8851500	17645000	11221000	"D9QZN2_CLOSW DNA-directed RNA polymerase subunit alpha OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpoA PE=3 SV=1"
"D9QZN3"	260230	243590	287290	1233300	1873000	5784400	3711600	3381600	"D9QZN3_CLOSW 30S ribosomal protein S4 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsD PE=3 SV=1"
"D9QZN4"	2067500	2642100	NA	1497000	5691500	5146500	5285200	3689800	"D9QZN4_CLOSW 30S ribosomal protein S11 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsK PE=3 SV=1"
"D9QZN5"	NA	NA	NA	658590	2075800	4228800	6808200	3509600	"D9QZN5_CLOSW 30S ribosomal protein S13 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsM PE=3 SV=1;tr"
"D9QZN6"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZN6_CLOSW 50S ribosomal protein L36 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpmJ PE=3 SV=1"
"D9QZN7"	NA	595060	NA	NA	2510000	4168100	1950200	2487600	"D9QZN7_CLOSW Translation initiation factor IF-1 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=infA PE=3 SV=1"
"D9QZP0"	92331	NA	NA	NA	203160	NA	NA	NA	"D9QZP0_CLOSW Adenylate kinase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3746 PE=3 SV=1"
"D9QZP1"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZP1_CLOSW Protein translocase subunit SecY OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=secY PE=3 SV=1"
"D9QZP2"	NA	NA	NA	2224400	8291600	23151000	21248000	12015000	"D9QZP2_CLOSW 50S ribosomal protein L15 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplO PE=3 SV=1"
"D9QZP3"	2159400	635720	1193400	1539900	1817900	2129300	1844800	3062200	"D9QZP3_CLOSW 50S ribosomal protein L30 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpmD PE=3 SV=1;tr"
"D9QZP4"	4451100	3740200	2582300	7209700	16238000	29582000	43930000	32633000	"D9QZP4_CLOSW 30S ribosomal protein S5 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsE PE=3 SV=1"
"D9QZP5"	NA	NA	NA	885660	2727700	3731900	2725100	926160	"D9QZP5_CLOSW 50S ribosomal protein L18 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplR PE=3 SV=1"
"D9QZP6"	1091200	791700	723360	2121700	5004300	9542000	8141300	5097400	"D9QZP6_CLOSW 50S ribosomal protein L6 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplF PE=3 SV=1"
"D9QZP7"	2673800	1934000	1480500	5069200	6769900	4277600	7164200	6764300	"D9QZP7_CLOSW 30S ribosomal protein S8 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsH PE=3 SV=1"
"D9QZP9"	163260	360250	105250	1310300	2508800	1281900	1054500	1744200	"D9QZP9_CLOSW 50S ribosomal protein L5 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplE PE=3 SV=1"
"D9QZQ0"	NA	NA	NA	4274800	NA	840950	304740	NA	"D9QZQ0_CLOSW 50S ribosomal protein L24 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplX PE=3 SV=1"
"D9QZQ1"	1231900	1037400	129310	1328700	4020400	7684800	8645600	6190900	"D9QZQ1_CLOSW 50S ribosomal protein L14 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplN PE=3 SV=1;tr"
"D9QZQ2"	284050	NA	NA	1539000	951680	2766000	2000200	1952000	"D9QZQ2_CLOSW 30S ribosomal protein S17 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsQ PE=3 SV=1"
"D9QZQ3"	228780	NA	NA	1753100	1366200	NA	NA	NA	"D9QZQ3_CLOSW 50S ribosomal protein L29 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpmC PE=3 SV=1"
"D9QZQ4"	NA	NA	NA	NA	NA	175410	747090	NA	"D9QZQ4_CLOSW 50S ribosomal protein L16 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplP PE=3 SV=1"
"D9QZQ5"	2728800	3357800	2862000	5043800	10821000	12372000	21252000	17971000	"D9QZQ5_CLOSW 30S ribosomal protein S3 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsC PE=3 SV=1"
"D9QZQ6"	282440	278140	260710	388800	1793200	6504400	3384600	3555800	"D9QZQ6_CLOSW 50S ribosomal protein L22 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplV PE=3 SV=1"
"D9QZQ7"	NA	417030	NA	1184100	1240800	8599100	1677800	2436300	"D9QZQ7_CLOSW 30S ribosomal protein S19 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsS PE=3 SV=1;tr"
"D9QZQ8"	589660	1144800	597930	2231800	7497300	22283000	17606000	5820000	"D9QZQ8_CLOSW 50S ribosomal protein L2 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplB PE=3 SV=1"
"D9QZQ9"	533170	NA	NA	1218200	1950700	3387500	2388100	1986100	"D9QZQ9_CLOSW 50S ribosomal protein L23 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplW PE=3 SV=1"
"D9QZR0"	2747700	4478200	2086500	7227200	18737000	32713000	31721000	13907000	"D9QZR0_CLOSW 50S ribosomal protein L4 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplD PE=3 SV=1"
"D9QZR1"	1668400	1155400	1195200	536660	5035300	7890700	5647500	3316700	"D9QZR1_CLOSW 50S ribosomal protein L3 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplC PE=3 SV=1"
"D9QZR2"	4284100	3841000	4521400	4359800	19302000	17798000	33144000	22288000	"D9QZR2_CLOSW 30S ribosomal protein S10 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsJ PE=3 SV=1;tr"
"D9QZR4"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZR4_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3770 PE=4 SV=1"
"D9QZS4"	9868700	9758400	6660000	17811000	38383000	45982000	75663000	54158000	"D9QZS4_CLOSW Elongation factor Tu OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=tuf PE=3 SV=1;tr"
"D9QZS5"	1745300	2089500	1857200	3251700	8346900	13326000	16431000	11531000	"D9QZS5_CLOSW Elongation factor G OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=fusA PE=3 SV=1"
"D9QZS6"	2207900	1481300	1700900	2717100	5820600	7635500	8475800	7245500	"D9QZS6_CLOSW 30S ribosomal protein S7 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsG PE=3 SV=1"
"D9QZS7"	8498100	6240400	7286800	8389800	15589000	25499000	27904000	21406000	"D9QZS7_CLOSW 30S ribosomal protein S12 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsL PE=3 SV=1;tr"
"D9QZS8"	313320	384750	237300	561220	1222900	1953700	3033500	2419600	"D9QZS8_CLOSW DNA-directed RNA polymerase subunit beta OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpoC PE=3 SV=1"
"D9QZS9"	137010	110080	221130	390920	1494400	1406000	3517600	1799900	"D9QZS9_CLOSW DNA-directed RNA polymerase subunit beta OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpoB PE=3 SV=1;tr"
"D9QZT0"	3413200	5281300	2441100	6408000	4670600	5121000	8177400	7245700	"D9QZT0_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3786 PE=4 SV=1"
"D9QZT2"	2563500	3413900	2609400	4620100	7383900	9392200	9185700	8815800	"D9QZT2_CLOSW Putative cell wall binding repeat-containing protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3788 PE=4 SV=1"
"D9QZT3"	137550	391240	223110	537190	1479000	3380300	4059800	2842100	"D9QZT3_CLOSW Choline/ethanolamine kinase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3789 PE=4 SV=1"
"D9QZT6"	NA	NA	NA	65055	NA	NA	NA	NA	"D9QZT6_CLOSW Glycosyl transferase family 2 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3792 PE=4 SV=1"
