#target name	accession	query name	accession	full sequence E-value	full sequence score	full sequence bias	best 1 domain E-value	best 1 domain score	best 1 domain bias	domain number estimation exp	domain number estimation reg	domain number estimation clu	domain number estimation ov	domain number estimation env	domain number estimation dom	domain number estimation rep	domain number estimation inc	description of target
TIGR03812	TIGR03812	WP_013270761.1	-	0.027	11.2	0.0	0.042	10.6	0.0	1.2	1	0	0	1	1	1	0	tyr_de_CO2_Arch: tyrosine decarboxylase MnfA
TIGR04343	TIGR04343	WP_013270761.1	-	0.028	11.2	0.0	0.042	10.6	0.0	1.2	1	0	0	1	1	1	0	egtE_PLP_lyase: ergothioneine biosynthesis PLP-dependent enzyme EgtE
TIGR03263	TIGR03263	WP_013270762.1	-	2.6e-17	61.0	0.1	4.6e-17	60.2	0.1	1.4	1	0	0	1	1	1	1	guanyl_kin: guanylate kinase
TIGR02322	TIGR02322	WP_013270762.1	-	0.00035	18.3	0.0	0.00055	17.6	0.0	1.3	1	0	0	1	1	1	1	phosphon_PhnN: phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN
TIGR00235	TIGR00235	WP_013270762.1	-	0.011	13.3	0.0	0.14	9.8	0.0	2.0	2	0	0	2	2	2	0	udk: uridine kinase
TIGR02634	TIGR02634	WP_013270765.1	-	1.2e-18	65.7	14.2	1.5e-18	65.4	14.2	1.1	1	0	0	1	1	1	1	xylF: D-xylose ABC transporter, D-xylose-binding protein
TIGR02955	TIGR02955	WP_013270765.1	-	8.6e-11	39.6	3.0	1.3e-10	39.0	3.0	1.3	1	1	0	1	1	1	1	TMAO_TorT: TMAO reductase system periplasmic protein TorT
TIGR01481	TIGR01481	WP_013270765.1	-	8.8e-10	36.4	8.1	1.2e-09	36.0	8.1	1.1	1	0	0	1	1	1	1	ccpA: catabolite control protein A
TIGR02637	TIGR02637	WP_013270765.1	-	3.3e-09	34.4	13.2	8.2e-09	33.1	0.7	2.1	1	1	1	2	2	2	2	RhaS: rhamnose ABC transporter, rhamnose-binding protein
TIGR02417	TIGR02417	WP_013270765.1	-	1.3e-08	32.5	0.0	1.7e-08	32.0	0.0	1.3	1	1	0	1	1	1	1	fruct_sucro_rep: D-fructose-responsive transcription factor
TIGR00678	TIGR00678	WP_013270769.1	-	1.8e-57	192.0	0.0	2.3e-57	191.6	0.0	1.1	1	0	0	1	1	1	1	holB: DNA polymerase III, delta' subunit
TIGR02397	TIGR02397	WP_013270769.1	-	1.9e-56	189.8	3.8	5.9e-51	171.7	0.0	2.0	2	0	0	2	2	2	2	dnaX_nterm: DNA polymerase III, subunit gamma and tau
TIGR03534	TIGR03534	WP_013270771.1	-	1.3e-16	58.7	0.0	1.7e-16	58.4	0.0	1.2	1	0	0	1	1	1	1	RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific
TIGR00536	TIGR00536	WP_013270771.1	-	1.6e-09	35.2	0.0	2.3e-09	34.7	0.0	1.2	1	0	0	1	1	1	1	hemK_fam: methyltransferase, HemK family
TIGR03533	TIGR03533	WP_013270771.1	-	9.4e-09	32.9	0.0	1.3e-08	32.5	0.0	1.1	1	0	0	1	1	1	1	L3_gln_methyl: protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific
TIGR00537	TIGR00537	WP_013270771.1	-	5.8e-08	30.6	0.0	1e-07	29.8	0.0	1.3	1	0	0	1	1	1	1	hemK_rel_arch: putative methylase
TIGR01934	TIGR01934	WP_013270771.1	-	1.5e-06	25.7	0.0	1.2e-05	22.7	0.0	1.9	1	1	0	1	1	1	1	MenG_MenH_UbiE: ubiquinone/menaquinone biosynthesis methyltransferase
TIGR01177	TIGR01177	WP_013270771.1	-	2.1e-06	25.2	0.0	2.7e-06	24.9	0.0	1.2	1	0	0	1	1	1	1	TIGR01177: putative methyltransferase, TIGR01177 family
TIGR02072	TIGR02072	WP_013270771.1	-	2.7e-06	25.3	0.0	9.9e-06	23.5	0.0	1.7	2	0	0	2	2	2	1	BioC: malonyl-acyl carrier protein O-methyltransferase BioC
TIGR02021	TIGR02021	WP_013270771.1	-	7.6e-06	23.5	0.0	9.3e-06	23.2	0.0	1.2	1	0	0	1	1	1	1	BchM-ChlM: magnesium protoporphyrin O-methyltransferase
TIGR02469	TIGR02469	WP_013270771.1	-	6.6e-05	21.1	0.0	0.00032	18.9	0.0	1.9	2	0	0	2	2	2	1	CbiT: precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit
TIGR03704	TIGR03704	WP_013270771.1	-	0.00023	18.6	0.0	0.00051	17.5	0.0	1.6	1	1	0	1	1	1	1	PrmC_rel_meth: putative protein-(glutamine-N5) methyltransferase, unknown substrate-specific
TIGR00138	TIGR00138	WP_013270771.1	-	0.002	15.7	0.1	0.74	7.4	0.0	2.3	2	1	0	2	2	2	2	rsmG_gidB: 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
TIGR01983	TIGR01983	WP_013270771.1	-	0.0023	15.2	0.0	0.0043	14.3	0.0	1.4	2	0	0	2	2	2	1	UbiG: 3-demethylubiquinone-9 3-O-methyltransferase
TIGR02081	TIGR02081	WP_013270771.1	-	0.0024	15.4	0.0	0.0046	14.5	0.0	1.4	1	0	0	1	1	1	1	metW: methionine biosynthesis protein MetW
TIGR00406	TIGR00406	WP_013270771.1	-	0.0054	14.2	0.0	0.0077	13.7	0.0	1.2	1	0	0	1	1	1	1	prmA: ribosomal protein L11 methyltransferase
TIGR03438	TIGR03438	WP_013270771.1	-	0.028	11.6	0.0	0.043	10.9	0.0	1.2	1	0	0	1	1	1	0	egtD_ergothio: dimethylhistidine N-methyltransferase
TIGR00497	TIGR00497	WP_013270771.1	-	0.032	10.9	0.0	0.048	10.3	0.0	1.2	1	0	0	1	1	1	0	hsdM: type I restriction-modification system, M subunit
TIGR00091	TIGR00091	WP_013270771.1	-	0.037	11.3	0.0	0.082	10.2	0.0	1.5	2	0	0	2	2	2	0	TIGR00091: tRNA (guanine-N(7)-)-methyltransferase
TIGR03151	TIGR03151	WP_013270775.1	-	5.4e-149	493.5	12.7	6e-149	493.3	12.7	1.0	1	0	0	1	1	1	1	enACPred_II: putative enoyl-[acyl-carrier-protein] reductase II
TIGR01302	TIGR01302	WP_013270775.1	-	8.5e-12	42.6	6.3	1.7e-07	28.5	0.1	2.3	2	0	0	2	2	2	2	IMP_dehydrog: inosine-5'-monophosphate dehydrogenase
TIGR00735	TIGR00735	WP_013270775.1	-	7.2e-08	30.0	0.9	1.4e-07	29.0	0.9	1.6	1	1	0	1	1	1	1	hisF: imidazoleglycerol phosphate synthase, cyclase subunit
TIGR02814	TIGR02814	WP_013270775.1	-	1.2e-07	28.8	5.3	9.4e-06	22.6	2.4	2.6	2	1	0	2	2	2	2	pfaD_fam: PfaD family protein
TIGR03572	TIGR03572	WP_013270775.1	-	6.6e-06	23.6	0.9	1.2e-05	22.8	0.9	1.5	1	0	0	1	1	1	1	WbuZ: glycosyl amidation-associated protein WbuZ
TIGR01037	TIGR01037	WP_013270775.1	-	7e-05	20.0	7.6	0.0003	17.9	7.6	2.2	1	1	0	1	1	1	1	pyrD_sub1_fam: dihydroorotate dehydrogenase family protein
TIGR00007	TIGR00007	WP_013270775.1	-	7.1e-05	20.5	0.6	0.0002	19.0	0.6	1.7	1	1	0	1	1	1	1	TIGR00007: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR03966	TIGR03966	WP_013270775.1	-	0.00011	19.0	2.2	0.00017	18.4	2.2	1.2	1	0	0	1	1	1	1	actino_HemFlav: heme/flavin dehydrogenase, mycofactocin system
TIGR02151	TIGR02151	WP_013270775.1	-	0.00016	18.7	0.3	0.00024	18.1	0.3	1.4	1	0	0	1	1	1	1	IPP_isom_2: isopentenyl-diphosphate delta-isomerase, type 2
TIGR00682	TIGR00682	WP_013270775.1	-	0.013	12.6	0.0	0.023	11.7	0.0	1.4	1	1	0	1	1	1	0	lpxK: tetraacyldisaccharide 4'-kinase
TIGR00128	TIGR00128	WP_013270776.1	-	4.6e-97	322.9	0.2	5.3e-97	322.7	0.2	1.0	1	0	0	1	1	1	1	fabD: malonyl CoA-acyl carrier protein transacylase
TIGR03131	TIGR03131	WP_013270776.1	-	3.3e-66	221.7	0.2	4e-66	221.4	0.2	1.0	1	0	0	1	1	1	1	malonate_mdcH: malonate decarboxylase, epsilon subunit
TIGR02813	TIGR02813	WP_013270776.1	-	1.1e-41	139.7	0.2	2.2e-41	138.7	0.2	1.4	1	1	0	1	1	1	1	omega_3_PfaA: polyketide-type polyunsaturated fatty acid synthase PfaA
TIGR02816	TIGR02816	WP_013270776.1	-	2.6e-05	21.1	0.1	0.00041	17.1	0.0	2.0	2	0	0	2	2	2	1	pfaB_fam: PfaB family protein
TIGR01830	TIGR01830	WP_013270777.1	-	3e-105	349.2	12.9	3.4e-105	349.0	12.9	1.0	1	0	0	1	1	1	1	3oxo_ACP_reduc: 3-oxoacyl-[acyl-carrier-protein] reductase
TIGR01829	TIGR01829	WP_013270777.1	-	1.3e-83	278.3	12.1	1.5e-83	278.1	12.1	1.0	1	0	0	1	1	1	1	AcAcCoA_reduct: acetoacetyl-CoA reductase
TIGR01831	TIGR01831	WP_013270777.1	-	7.2e-73	242.8	11.1	8.3e-73	242.6	11.1	1.0	1	0	0	1	1	1	1	fabG_rel: putative 3-oxoacyl-(acyl-carrier-protein) reductase
TIGR01832	TIGR01832	WP_013270777.1	-	9e-64	213.3	11.1	1e-63	213.1	11.1	1.0	1	0	0	1	1	1	1	kduD: 2-deoxy-D-gluconate 3-dehydrogenase
TIGR01963	TIGR01963	WP_013270777.1	-	7.9e-60	200.2	10.3	9.5e-59	196.7	10.3	1.9	1	1	0	1	1	1	1	PHB_DH: 3-hydroxybutyrate dehydrogenase
TIGR02415	TIGR02415	WP_013270777.1	-	1.6e-59	199.4	13.4	6.2e-59	197.4	13.4	1.7	1	1	0	1	1	1	1	23BDH: acetoin reductases
TIGR03971	TIGR03971	WP_013270777.1	-	1.4e-58	196.3	15.2	1.5e-57	192.9	15.2	2.2	1	1	0	1	1	1	1	SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase
TIGR03206	TIGR03206	WP_013270777.1	-	8.9e-57	190.3	10.5	1e-56	190.1	10.5	1.0	1	0	0	1	1	1	1	benzo_BadH: 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
TIGR04316	TIGR04316	WP_013270777.1	-	7.4e-46	154.7	8.5	2.2e-45	153.2	8.5	1.6	1	1	0	1	1	1	1	dhbA_paeA: 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
TIGR04504	TIGR04504	WP_013270777.1	-	1.2e-38	131.3	9.1	2e-38	130.6	9.1	1.4	1	1	0	1	1	1	1	SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase
TIGR02632	TIGR02632	WP_013270777.1	-	3.1e-34	116.3	12.4	3.3e-33	112.9	12.4	1.9	1	1	0	1	1	1	1	RhaD_aldol-ADH: rhamnulose-1-phosphate aldolase/alcohol dehydrogenase
TIGR02685	TIGR02685	WP_013270777.1	-	1.3e-33	114.2	3.4	4e-32	109.3	3.4	2.0	1	1	0	1	1	1	1	pter_reduc_Leis: pteridine reductase
TIGR03325	TIGR03325	WP_013270777.1	-	4.5e-22	76.5	9.6	7.5e-22	75.8	9.6	1.4	1	1	0	1	1	1	1	BphB_TodD: cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase
TIGR01500	TIGR01500	WP_013270777.1	-	4.9e-10	37.2	1.2	6.7e-10	36.8	1.2	1.1	1	0	0	1	1	1	1	sepiapter_red: sepiapterin reductase
TIGR01289	TIGR01289	WP_013270777.1	-	8e-05	20.2	0.6	0.00023	18.7	0.5	1.7	1	1	1	2	2	2	1	LPOR: light-dependent protochlorophyllide reductase
TIGR01179	TIGR01179	WP_013270777.1	-	0.0058	13.4	0.3	0.0084	12.9	0.3	1.3	1	1	0	1	1	1	1	galE: UDP-glucose 4-epimerase GalE
TIGR03150	TIGR03150	WP_013270778.1	-	1.2e-183	608.4	8.1	1.4e-183	608.2	8.1	1.0	1	0	0	1	1	1	1	fabF: beta-ketoacyl-acyl-carrier-protein synthase II
TIGR02813	TIGR02813	WP_013270778.1	-	7.6e-22	73.9	8.3	1e-21	73.4	8.3	1.1	1	0	0	1	1	1	1	omega_3_PfaA: polyketide-type polyunsaturated fatty acid synthase PfaA
TIGR01930	TIGR01930	WP_013270778.1	-	1.2e-07	29.0	4.6	7.9e-07	26.3	0.6	2.4	1	1	1	2	2	2	2	AcCoA-C-Actrans: acetyl-CoA C-acyltransferase
TIGR02430	TIGR02430	WP_013270778.1	-	9e-05	19.6	3.5	0.00033	17.8	0.6	2.6	3	0	0	3	3	3	1	pcaF: 3-oxoadipyl-CoA thiolase
TIGR02446	TIGR02446	WP_013270778.1	-	0.0019	15.2	1.8	0.0033	14.5	1.8	1.3	1	0	0	1	1	1	1	FadI: acetyl-CoA C-acyltransferase FadI
TIGR00531	TIGR00531	WP_013270779.1	-	2.3e-45	152.8	0.5	2.6e-45	152.7	0.5	1.0	1	0	0	1	1	1	1	BCCP: acetyl-CoA carboxylase, biotin carboxyl carrier protein
TIGR01108	TIGR01108	WP_013270779.1	-	2.1e-09	34.3	0.1	2.3e-09	34.2	0.1	1.1	1	0	0	1	1	1	1	oadA: oxaloacetate decarboxylase alpha subunit
TIGR02712	TIGR02712	WP_013270779.1	-	1.8e-07	27.2	0.0	1.8e-07	27.2	0.0	1.1	1	0	0	1	1	1	1	urea_carbox: urea carboxylase
TIGR01347	TIGR01347	WP_013270779.1	-	1.6e-06	25.5	0.0	2.7e-06	24.8	0.0	1.3	1	0	0	1	1	1	1	sucB: dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex
TIGR01235	TIGR01235	WP_013270779.1	-	2.7e-06	23.1	0.0	2.9e-06	23.0	0.0	1.2	1	0	0	1	1	1	1	pyruv_carbox: pyruvate carboxylase
TIGR01348	TIGR01348	WP_013270779.1	-	1.4e-05	21.8	0.5	1.8e-05	21.5	0.5	1.1	1	0	0	1	1	1	1	PDHac_trf_long: dihydrolipoyllysine-residue acetyltransferase
TIGR01730	TIGR01730	WP_013270779.1	-	4.3e-05	20.6	0.3	0.065	10.1	0.0	2.2	1	1	1	2	2	2	2	RND_mfp: efflux transporter, RND family, MFP subunit
TIGR03309	TIGR03309	WP_013270779.1	-	0.00039	17.9	0.0	0.00056	17.4	0.0	1.2	1	0	0	1	1	1	1	matur_yqeB: selenium-dependent molybdenum hydroxylase system protein, YqeB family
TIGR03794	TIGR03794	WP_013270779.1	-	0.011	12.6	0.8	0.019	11.8	0.1	1.8	2	1	0	2	2	2	0	NHLM_micro_HlyD: NHLM bacteriocin system secretion protein
TIGR04481	TIGR04481	WP_013270779.1	-	0.012	12.4	0.0	0.017	11.9	0.0	1.2	1	0	0	1	1	1	0	PR_assoc_PrdC: proline reductase-associated electron transfer protein PrdC
TIGR01349	TIGR01349	WP_013270779.1	-	0.017	12.2	0.6	0.09	9.8	0.1	1.9	2	0	0	2	2	2	0	PDHac_trf_mito: pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
TIGR01750	TIGR01750	WP_013270780.1	-	6.7e-54	179.5	0.1	7.5e-54	179.4	0.1	1.0	1	0	0	1	1	1	1	fabZ: beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ
TIGR01749	TIGR01749	WP_013270780.1	-	3.6e-07	28.2	0.0	4.4e-07	27.9	0.0	1.1	1	0	0	1	1	1	1	fabA: beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA
TIGR00514	TIGR00514	WP_013270781.1	-	2.5e-213	706.9	4.3	2.9e-213	706.6	4.3	1.0	1	0	0	1	1	1	1	accC: acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR01235	TIGR01235	WP_013270781.1	-	4.8e-162	538.9	2.1	5.7e-162	538.7	2.1	1.0	1	0	0	1	1	1	1	pyruv_carbox: pyruvate carboxylase
TIGR02712	TIGR02712	WP_013270781.1	-	8.3e-161	535.1	0.2	9.9e-161	534.8	0.2	1.0	1	0	0	1	1	1	1	urea_carbox: urea carboxylase
TIGR01369	TIGR01369	WP_013270781.1	-	5.1e-19	65.4	0.5	9.2e-14	48.0	0.1	2.1	2	0	0	2	2	2	2	CPSaseII_lrg: carbamoyl-phosphate synthase, large subunit
TIGR00768	TIGR00768	WP_013270781.1	-	5.5e-13	46.8	0.2	8.4e-12	43.0	0.2	2.1	1	1	0	1	1	1	1	rimK_fam: alpha-L-glutamate ligase, RimK family
TIGR01205	TIGR01205	WP_013270781.1	-	6.4e-11	39.7	0.1	1.1e-10	39.0	0.1	1.3	1	0	0	1	1	1	1	D_ala_D_alaTIGR: D-alanine--D-alanine ligase
TIGR02144	TIGR02144	WP_013270781.1	-	4.9e-10	36.9	0.3	1.3e-09	35.5	0.3	1.6	1	1	0	1	1	1	1	LysX_arch: lysine biosynthesis enzyme LysX
TIGR02068	TIGR02068	WP_013270781.1	-	7.2e-09	32.1	0.0	9.6e-09	31.7	0.0	1.2	1	0	0	1	1	1	1	cya_phycin_syn: cyanophycin synthetase
TIGR01161	TIGR01161	WP_013270781.1	-	3.3e-08	31.1	0.1	4.7e-08	30.6	0.1	1.2	1	0	0	1	1	1	1	purK: phosphoribosylaminoimidazole carboxylase, ATPase subunit
TIGR01142	TIGR01142	WP_013270781.1	-	3.8e-07	27.3	0.7	7.5e-07	26.3	0.7	1.6	1	1	0	1	1	1	1	purT: phosphoribosylglycinamide formyltransferase 2
TIGR03909	TIGR03909	WP_013270781.1	-	0.0023	14.6	0.1	0.0053	13.5	0.1	1.6	1	1	0	1	1	1	1	pyrrolys_PylC: pyrrolysine biosynthesis protein PylC
TIGR00513	TIGR00513	WP_013270782.1	-	1.9e-114	380.3	0.4	7.5e-114	378.4	0.0	2.0	2	1	0	2	2	2	1	accA: acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
TIGR00515	TIGR00515	WP_013270782.1	-	8e-114	377.7	0.1	2e-113	376.5	0.0	1.6	2	0	0	2	2	2	1	accD: acetyl-CoA carboxylase, carboxyl transferase, beta subunit
