#target name	accession	query name	accession	full sequence E-value	full sequence score	full sequence bias	best 1 domain E-value	best 1 domain score	best 1 domain bias	domain number estimation exp	domain number estimation reg	domain number estimation clu	domain number estimation ov	domain number estimation env	domain number estimation dom	domain number estimation rep	domain number estimation inc	description of target
TIGR00177	TIGR00177	NP_414550.1	-	1.6e-40	136.4	0.0	2.2e-40	136.0	0.0	1.1	1	0	0	1	1	1	1	molyb_syn: molybdenum cofactor synthesis domain
TIGR02667	TIGR02667	NP_414550.1	-	6.2e-20	69.5	0.0	9e-20	68.9	0.0	1.2	1	0	0	1	1	1	1	moaB_proteo: molybdenum cofactor biosynthesis protein B
TIGR02350	TIGR02350	NP_414555.1	-	5.2e-294	974.1	21.0	6.3e-294	973.8	21.0	1.0	1	0	0	1	1	1	1	prok_dnaK: chaperone protein DnaK
TIGR01991	TIGR01991	NP_414555.1	-	4e-189	627.9	15.9	4.8e-189	627.7	15.9	1.0	1	0	0	1	1	1	1	HscA: Fe-S protein assembly chaperone HscA
TIGR02529	TIGR02529	NP_414555.1	-	5.5e-13	46.9	1.8	3.7e-12	44.2	0.2	2.9	3	1	0	3	3	3	1	EutJ: ethanolamine utilization protein EutJ family protein
TIGR00904	TIGR00904	NP_414555.1	-	4.5e-12	43.6	2.7	1.1e-10	39.0	0.7	2.5	2	1	0	2	2	2	2	mreB: cell shape determining protein, MreB/Mrl family
TIGR02349	TIGR02349	NP_414556.1	-	3.1e-143	475.4	3.9	3.5e-143	475.2	3.9	1.0	1	0	0	1	1	1	1	DnaJ_bact: chaperone protein DnaJ
TIGR03835	TIGR03835	NP_414556.1	-	4.4e-35	119.2	0.4	2.4e-26	90.4	1.0	2.0	2	0	0	2	2	2	2	termin_org_DnaJ: terminal organelle assembly protein TopJ
TIGR02642	TIGR02642	NP_414556.1	-	6.2e-06	24.0	20.7	0.00079	17.1	6.3	2.3	1	1	1	2	2	2	2	phage_xxxx: uncharacterized phage protein
TIGR00714	TIGR00714	NP_414556.1	-	3.4e-05	22.0	0.5	3.4e-05	22.0	0.5	1.6	2	0	0	2	2	2	1	hscB: Fe-S protein assembly co-chaperone HscB
TIGR00757	TIGR00757	NP_414556.1	-	0.21	8.4	9.9	1.3	5.8	0.3	3.4	1	1	2	3	3	3	0	RNaseEG: ribonuclease, Rne/Rng family
TIGR00100	TIGR00100	NP_414556.1	-	0.59	8.2	9.3	0.61	8.1	0.9	2.4	1	1	1	2	2	2	0	hypA: hydrogenase nickel insertion protein HypA
TIGR00773	TIGR00773	NP_414560.1	-	2.2e-199	660.0	30.3	2.5e-199	659.8	30.3	1.0	1	0	0	1	1	1	1	NhaA: Na+/H+ antiporter NhaA
TIGR02424	TIGR02424	NP_414561.1	-	1.4e-21	74.7	0.0	2e-21	74.2	0.0	1.2	1	0	0	1	1	1	1	TF_pcaQ: pca operon transcription factor PcaQ
TIGR03339	TIGR03339	NP_414561.1	-	3.9e-14	50.5	0.0	5.6e-14	50.0	0.0	1.4	1	0	0	1	1	1	1	phn_lysR: aminoethylphosphonate catabolism associated LysR family transcriptional regulator
TIGR03298	TIGR03298	NP_414561.1	-	1.9e-08	31.7	0.0	2.6e-08	31.3	0.0	1.2	1	0	0	1	1	1	1	argP: transcriptional regulator, ArgP family
TIGR02036	TIGR02036	NP_414561.1	-	3.4e-08	30.8	0.0	5.1e-08	30.2	0.0	1.2	1	0	0	1	1	1	1	dsdC: D-serine deaminase transcriptional activator
TIGR03418	TIGR03418	NP_414561.1	-	1.3e-06	25.6	0.0	1.9e-06	25.1	0.0	1.2	1	0	0	1	1	1	1	chol_sulf_TF: putative choline sulfate-utilization transcription factor
TIGR00029	TIGR00029	NP_414564.1	-	5.1e-35	117.9	15.7	5.6e-35	117.7	15.7	1.0	1	0	0	1	1	1	1	S20: ribosomal protein bS20
TIGR00083	TIGR00083	NP_414566.1	-	1.3e-123	410.0	0.0	1.5e-123	409.9	0.0	1.0	1	0	0	1	1	1	1	ribF: riboflavin biosynthesis protein RibF
TIGR00125	TIGR00125	NP_414566.1	-	7e-05	20.9	0.0	0.00016	19.8	0.0	1.7	1	0	0	1	1	1	1	cyt_tran_rel: cytidyltransferase-like domain
TIGR02199	TIGR02199	NP_414566.1	-	0.032	12.0	0.0	0.053	11.3	0.0	1.4	1	1	0	1	1	1	0	rfaE_dom_II: bifunctional protein RfaE, domain II
TIGR00392	TIGR00392	NP_414567.1	-	0	1031.3	0.0	0	1031.1	0.0	1.0	1	0	0	1	1	1	1	ileS: isoleucine--tRNA ligase
TIGR00422	TIGR00422	NP_414567.1	-	6.6e-115	382.9	0.0	1.1e-76	256.5	0.0	2.0	2	0	0	2	2	2	2	valS: valine--tRNA ligase
TIGR00395	TIGR00395	NP_414567.1	-	1.5e-36	123.8	1.0	3.7e-20	69.5	0.0	3.4	2	2	0	2	2	2	2	leuS_arch: leucine--tRNA ligase
TIGR00396	TIGR00396	NP_414567.1	-	7.6e-28	95.0	0.1	4.1e-08	29.8	0.1	5.2	3	1	0	3	3	3	3	leuS_bact: leucine--tRNA ligase
TIGR00398	TIGR00398	NP_414567.1	-	2.7e-27	93.6	0.1	8.2e-12	42.5	0.0	3.4	3	1	0	3	3	3	3	metG: methionine--tRNA ligase
TIGR00435	TIGR00435	NP_414567.1	-	1.2e-11	42.4	0.0	4.1e-10	37.3	0.0	2.2	2	0	0	2	2	2	1	cysS: cysteine--tRNA ligase
TIGR03447	TIGR03447	NP_414567.1	-	0.00017	18.5	0.1	0.0003	17.7	0.1	1.3	1	0	0	1	1	1	1	mycothiol_MshC: cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
TIGR00115	TIGR00115	NP_414569.1	-	9.6e-05	19.3	0.0	0.0009	16.1	0.0	1.9	2	0	0	2	2	2	2	tig: trigger factor
TIGR00216	TIGR00216	NP_414570.1	-	2.1e-100	333.5	0.1	2.4e-100	333.3	0.1	1.0	1	0	0	1	1	1	1	ispH_lytB: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR00036	TIGR00036	NP_414572.1	-	5.8e-113	374.8	4.7	6.6e-113	374.7	4.7	1.0	1	0	0	1	1	1	1	dapB: 4-hydroxy-tetrahydrodipicolinate reductase
TIGR02130	TIGR02130	NP_414572.1	-	2.8e-10	37.7	0.2	6e-10	36.6	0.2	1.6	1	1	0	1	1	1	1	dapB_plant: dihydrodipicolinate reductase
TIGR01368	TIGR01368	NP_414573.1	-	2.3e-153	508.4	0.0	2.6e-153	508.2	0.0	1.0	1	0	0	1	1	1	1	CPSaseIIsmall: carbamoyl-phosphate synthase, small subunit
TIGR00888	TIGR00888	NP_414573.1	-	2e-16	57.9	0.0	4.3e-16	56.8	0.0	1.5	1	1	0	1	1	1	1	guaA_Nterm: GMP synthase (glutamine-hydrolyzing), N-terminal domain
TIGR00566	TIGR00566	NP_414573.1	-	3.7e-16	57.4	0.0	6.1e-16	56.7	0.0	1.4	1	0	0	1	1	1	1	trpG_papA: glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase
TIGR01815	TIGR01815	NP_414573.1	-	4.2e-15	52.7	0.1	6.7e-15	52.0	0.1	1.2	1	0	0	1	1	1	1	TrpE-clade3: anthranilate synthase
TIGR01823	TIGR01823	NP_414573.1	-	5.2e-13	46.1	0.0	6.6e-13	45.7	0.0	1.1	1	0	0	1	1	1	1	PabB-fungal: aminodeoxychorismate synthase
TIGR00337	TIGR00337	NP_414573.1	-	0.00013	18.7	0.0	0.00038	17.1	0.0	1.6	1	1	1	2	2	2	1	PyrG: CTP synthase
TIGR01855	TIGR01855	NP_414573.1	-	0.0018	16.0	0.1	0.0068	14.2	0.0	2.0	1	1	0	2	2	2	1	IMP_synth_hisH: imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
TIGR01382	TIGR01382	NP_414573.1	-	0.017	12.7	0.0	0.032	11.7	0.0	1.5	1	0	0	1	1	1	0	PfpI: intracellular protease, PfpI family
TIGR01369	TIGR01369	NP_414574.1	-	0	1622.9	0.0	0	1622.7	0.0	1.0	1	0	0	1	1	1	1	CPSaseII_lrg: carbamoyl-phosphate synthase, large subunit
TIGR01235	TIGR01235	NP_414574.1	-	1.6e-33	113.3	5.6	5.5e-19	65.1	1.5	2.1	2	0	0	2	2	2	2	pyruv_carbox: pyruvate carboxylase
TIGR00514	TIGR00514	NP_414574.1	-	2.9e-30	103.4	4.8	5.2e-15	53.1	0.5	2.2	2	0	0	2	2	2	2	accC: acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR01142	TIGR01142	NP_414574.1	-	2.4e-25	87.2	2.3	7.7e-13	46.0	0.7	2.2	2	0	0	2	2	2	2	purT: phosphoribosylglycinamide formyltransferase 2
TIGR01205	TIGR01205	NP_414574.1	-	6.2e-23	79.2	0.0	9.4e-11	39.2	0.0	2.2	2	0	0	2	2	2	2	D_ala_D_alaTIGR: D-alanine--D-alanine ligase
TIGR02712	TIGR02712	NP_414574.1	-	1.3e-21	74.1	2.7	3.9e-15	52.6	0.6	2.1	2	0	0	2	2	2	2	urea_carbox: urea carboxylase
TIGR00768	TIGR00768	NP_414574.1	-	9.2e-16	56.0	0.0	8.8e-09	33.1	0.0	2.7	3	0	0	3	3	3	2	rimK_fam: alpha-L-glutamate ligase, RimK family
TIGR02144	TIGR02144	NP_414574.1	-	3.4e-15	53.8	0.0	4e-08	30.6	0.0	2.5	2	0	0	2	2	2	2	LysX_arch: lysine biosynthesis enzyme LysX
TIGR03909	TIGR03909	NP_414574.1	-	4.4e-13	46.7	0.2	1.1e-07	28.8	0.2	2.4	2	0	0	2	2	2	2	pyrrolys_PylC: pyrrolysine biosynthesis protein PylC
TIGR00877	TIGR00877	NP_414574.1	-	1e-11	42.3	2.0	7.8e-07	26.2	0.2	2.5	2	1	0	2	2	2	2	purD: phosphoribosylamine--glycine ligase
TIGR02068	TIGR02068	NP_414574.1	-	1.7e-06	24.3	0.1	0.0071	12.3	0.0	2.2	2	0	0	2	2	2	2	cya_phycin_syn: cyanophycin synthetase
TIGR00355	TIGR00355	NP_414574.1	-	0.00082	16.3	0.0	0.0016	15.3	0.0	1.4	1	0	0	1	1	1	1	purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR03253	TIGR03253	NP_414580.1	-	4.2e-31	106.0	0.0	2.6e-23	80.4	0.0	2.1	2	0	0	2	2	2	2	oxalate_frc: formyl-CoA transferase
TIGR04253	TIGR04253	NP_414580.1	-	1.5e-07	28.7	0.0	9.7e-07	26.0	0.0	1.9	1	1	0	1	1	1	1	mesacon_CoA_iso: mesaconyl-CoA isomerase
TIGR03207	TIGR03207	NP_414581.1	-	2.9e-39	132.8	0.1	3.7e-39	132.5	0.1	1.1	1	0	0	1	1	1	1	cyc_hxne_CoA_dh: cyclohexanecarboxyl-CoA dehydrogenase
TIGR04022	TIGR04022	NP_414581.1	-	8.3e-19	65.7	0.0	1.4e-18	65.0	0.0	1.2	1	0	0	1	1	1	1	sulfur_SfnB: sulfur acquisition oxidoreductase, SfnB family
TIGR03203	TIGR03203	NP_414581.1	-	1.8e-17	61.5	0.1	2.2e-17	61.2	0.1	1.0	1	0	0	1	1	1	1	pimD_small: pimeloyl-CoA dehydrogenase, small subunit
TIGR03204	TIGR03204	NP_414581.1	-	3.1e-15	53.9	0.0	4.2e-15	53.5	0.0	1.2	1	0	0	1	1	1	1	pimC_large: pimeloyl-CoA dehydrogenase, large subunit
TIGR00842	TIGR00842	NP_414582.1	-	8.1e-169	560.1	34.4	1e-168	559.7	34.4	1.1	1	0	0	1	1	1	1	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family
TIGR02032	TIGR02032	NP_414585.1	-	4.1e-32	110.0	3.6	1.2e-31	108.5	3.6	1.7	1	1	0	1	1	1	1	GG-red-SF: geranylgeranyl reductase family
TIGR02023	TIGR02023	NP_414585.1	-	3e-20	70.5	2.2	8.6e-20	69.0	2.2	1.7	1	1	0	1	1	1	1	BchP-ChlP: geranylgeranyl reductase
TIGR02028	TIGR02028	NP_414585.1	-	2.6e-12	44.2	1.1	3.8e-11	40.3	1.1	2.3	1	1	0	1	1	1	1	ChlP: geranylgeranyl reductase
TIGR00275	TIGR00275	NP_414585.1	-	3.2e-12	43.9	1.1	6.9e-12	42.8	1.1	1.5	1	1	0	1	1	1	1	TIGR00275: flavoprotein, HI0933 family
TIGR04542	TIGR04542	NP_414585.1	-	1e-11	42.5	3.0	2.1e-06	25.0	0.1	2.2	2	0	0	2	2	2	2	GMC_mycofac_2: GMC family mycofactocin-associated oxidreductase
TIGR01988	TIGR01988	NP_414585.1	-	5.6e-11	39.8	1.6	8.1e-11	39.3	0.4	1.8	2	0	0	2	2	2	1	Ubi-OHases: ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family
TIGR00292	TIGR00292	NP_414585.1	-	7.3e-10	36.5	2.0	1.4e-06	25.7	0.4	2.2	2	0	0	2	2	2	2	TIGR00292: thiazole biosynthesis enzyme
TIGR01984	TIGR01984	NP_414585.1	-	1.6e-08	31.7	0.9	3.7e-08	30.5	0.9	1.5	1	1	0	1	1	1	1	UbiH: 2-polyprenyl-6-methoxyphenol 4-hydroxylase
TIGR02352	TIGR02352	NP_414585.1	-	6.7e-08	30.0	7.7	0.00073	16.7	4.1	2.3	2	0	0	2	2	2	2	thiamin_ThiO: glycine oxidase ThiO
TIGR01377	TIGR01377	NP_414585.1	-	1.5e-07	28.5	0.3	0.00017	18.4	0.2	2.3	2	0	0	2	2	2	2	soxA_mon: sarcosine oxidase, monomeric form
TIGR00031	TIGR00031	NP_414585.1	-	3.9e-07	27.3	0.2	6.2e-07	26.7	0.2	1.2	1	0	0	1	1	1	1	UDP-GALP_mutase: UDP-galactopyranose mutase
TIGR01790	TIGR01790	NP_414585.1	-	5.4e-07	27.0	2.2	3.1e-06	24.5	2.2	2.0	1	1	0	1	1	1	1	carotene-cycl: lycopene cyclase family protein
TIGR02730	TIGR02730	NP_414585.1	-	5.7e-07	26.7	4.1	0.0002	18.3	0.4	2.9	1	1	2	3	3	3	2	carot_isom: carotene isomerase
TIGR01292	TIGR01292	NP_414585.1	-	1.5e-06	25.2	0.2	0.00031	17.6	0.1	2.3	2	0	0	2	2	2	1	TRX_reduct: thioredoxin-disulfide reductase
TIGR03197	TIGR03197	NP_414585.1	-	3.6e-06	24.2	4.5	3.2e-05	21.1	2.8	2.1	2	0	0	2	2	2	1	MnmC_Cterm: tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain
TIGR03378	TIGR03378	NP_414585.1	-	1.9e-05	21.8	1.2	1.9e-05	21.8	1.2	1.7	2	0	0	2	2	1	1	glycerol3P_GlpB: glycerol-3-phosphate dehydrogenase, anaerobic, B subunit
TIGR03467	TIGR03467	NP_414585.1	-	2.6e-05	21.6	7.4	0.00017	19.0	4.8	2.2	2	0	0	2	2	2	1	HpnE: squalene-associated FAD-dependent desaturase
TIGR01350	TIGR01350	NP_414585.1	-	5.3e-05	20.0	6.3	0.00012	18.8	2.2	2.2	2	0	0	2	2	2	1	lipoamide_DH: dihydrolipoyl dehydrogenase
TIGR03140	TIGR03140	NP_414585.1	-	7.5e-05	19.4	2.1	0.013	12.0	0.6	2.1	2	0	0	2	2	2	2	AhpF: alkyl hydroperoxide reductase subunit F
TIGR01813	TIGR01813	NP_414585.1	-	0.0001	19.1	4.9	0.0018	15.0	1.2	2.2	2	0	0	2	2	2	1	flavo_cyto_c: flavocytochrome c
TIGR02734	TIGR02734	NP_414585.1	-	0.00019	18.2	5.1	0.00049	16.8	2.2	2.1	2	0	0	2	2	2	1	crtI_fam: phytoene desaturase
TIGR01373	TIGR01373	NP_414585.1	-	0.00028	17.8	4.1	0.0067	13.2	0.1	2.4	3	0	0	3	3	3	1	soxB: sarcosine oxidase, beta subunit family
TIGR03970	TIGR03970	NP_414585.1	-	0.00036	17.6	2.6	0.027	11.4	0.7	2.1	2	0	0	2	2	2	1	Rv0697: dehydrogenase, Rv0697 family
TIGR03143	TIGR03143	NP_414585.1	-	0.00042	16.9	0.5	0.00042	16.9	0.5	1.6	2	0	0	2	2	2	1	AhpF_homolog: putative alkyl hydroperoxide reductase F subunit
TIGR01372	TIGR01372	NP_414585.1	-	0.00049	15.9	0.2	0.00086	15.1	0.2	1.3	1	0	0	1	1	1	1	soxA: sarcosine oxidase, alpha subunit family
TIGR03364	TIGR03364	NP_414585.1	-	0.00055	17.0	3.6	0.00065	16.8	2.1	1.8	2	0	0	2	2	2	1	HpnW_proposed: FAD dependent oxidoreductase TIGR03364
TIGR02485	TIGR02485	NP_414585.1	-	0.00082	16.2	3.3	0.0098	12.6	0.7	2.3	2	0	0	2	2	2	1	CobZ_N-term: precorrin 3B synthase CobZ
TIGR02733	TIGR02733	NP_414585.1	-	0.0019	14.9	3.4	0.0027	14.4	1.4	1.9	2	0	0	2	2	2	1	desat_CrtD: C-3',4' desaturase CrtD
TIGR00745	TIGR00745	NP_414585.1	-	0.0022	15.3	0.1	0.0031	14.8	0.1	1.2	1	0	0	1	1	1	1	apbA_panE: 2-dehydropantoate 2-reductase
TIGR04046	TIGR04046	NP_414585.1	-	0.0032	14.5	0.4	0.37	7.7	0.1	2.2	2	0	0	2	2	2	1	MSMEG_0569_nitr: flavin-dependent oxidoreductase, MSMEG_0569 family
TIGR03997	TIGR03997	NP_414585.1	-	0.0042	13.5	0.9	0.0069	12.7	0.9	1.2	1	0	0	1	1	1	1	mycofact_OYE_2: mycofactocin system FadH/OYE family oxidoreductase 2
TIGR01816	TIGR01816	NP_414585.1	-	0.0043	13.2	0.8	0.0043	13.2	0.8	2.3	3	0	0	3	3	3	1	sdhA_forward: succinate dehydrogenase, flavoprotein subunit
TIGR03315	TIGR03315	NP_414585.1	-	0.0046	12.3	0.2	0.0061	11.9	0.2	1.1	1	0	0	1	1	1	1	Se_ygfK: putative selenate reductase, YgfK subunit
TIGR00551	TIGR00551	NP_414585.1	-	0.0055	13.4	3.3	0.12	9.0	0.5	2.2	2	0	0	2	2	2	1	nadB: L-aspartate oxidase
TIGR00136	TIGR00136	NP_414585.1	-	0.0056	13.0	2.7	0.016	11.5	0.7	1.9	2	0	0	2	2	2	1	gidA: tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR04018	TIGR04018	NP_414585.1	-	0.012	12.4	1.7	0.019	11.7	0.6	1.7	2	0	0	2	2	2	0	Bthiol_YpdA: putative bacillithiol system oxidoreductase, YpdA family
TIGR00137	TIGR00137	NP_414585.1	-	0.012	12.3	0.6	0.023	11.5	0.6	1.3	1	0	0	1	1	1	0	gid_trmFO: tRNA:m(5)U-54 methyltransferase
TIGR01317	TIGR01317	NP_414585.1	-	0.023	11.5	2.9	0.41	7.4	0.6	2.1	2	0	0	2	2	2	0	GOGAT_sm_gam: glutamate synthase, NADH/NADPH, small subunit
TIGR01812	TIGR01812	NP_414585.1	-	0.029	10.8	5.4	0.022	11.1	2.0	2.3	3	0	0	3	3	3	0	sdhA_frdA_Gneg: succinate dehydrogenase or fumarate reductase, flavoprotein subunit
TIGR03377	TIGR03377	NP_414585.1	-	0.037	10.5	0.1	0.037	10.5	0.1	2.0	2	0	0	2	2	2	0	glycerol3P_GlpA: glycerol-3-phosphate dehydrogenase, anaerobic, A subunit
TIGR01789	TIGR01789	NP_414585.1	-	0.055	10.5	3.8	0.04	11.0	1.1	1.9	2	0	0	2	2	2	0	lycopene_cycl: lycopene cyclase
TIGR01318	TIGR01318	NP_414585.1	-	0.063	9.8	1.5	0.12	8.8	0.7	1.8	2	0	0	2	2	2	0	gltD_gamma_fam: glutamate synthase, small subunit
TIGR02053	TIGR02053	NP_414585.1	-	0.18	8.7	7.3	0.2	8.5	2.9	2.1	2	0	0	2	2	2	0	MerA: mercury(II) reductase
TIGR02374	TIGR02374	NP_414585.1	-	0.2	7.9	3.0	0.67	6.2	0.3	2.0	2	0	0	2	2	2	0	nitri_red_nirB: nitrite reductase [NAD(P)H], large subunit
TIGR02951	TIGR02951	NP_414586.1	-	0.0003	18.8	0.0	0.00032	18.7	0.0	1.1	1	0	0	1	1	1	1	DMSO_dmsB: dimethylsulfoxide reductase, chain B
TIGR00402	TIGR00402	NP_414586.1	-	0.0018	16.2	0.0	0.0019	16.2	0.0	1.1	1	0	0	1	1	1	1	napF: ferredoxin-type protein NapF
TIGR02700	TIGR02700	NP_414586.1	-	0.0056	13.9	0.0	0.0061	13.8	0.0	1.0	1	0	0	1	1	1	1	flavo_MJ0208: archaeoflavoprotein, MJ0208 family
TIGR02179	TIGR02179	NP_414586.1	-	0.0061	14.6	0.1	0.0078	14.3	0.1	1.2	1	0	0	1	1	1	1	PorD_KorD: 2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family
TIGR02066	TIGR02066	NP_414586.1	-	0.0069	13.4	0.0	0.0074	13.3	0.0	1.1	1	0	0	1	1	1	1	dsrB: sulfite reductase, dissimilatory-type beta subunit
TIGR04105	TIGR04105	NP_414586.1	-	0.0094	12.6	0.1	0.012	12.2	0.1	1.1	1	0	0	1	1	1	1	FeFe_hydrog_B1: [FeFe] hydrogenase, group B1/B3
TIGR04041	TIGR04041	NP_414586.1	-	0.014	12.8	0.1	0.017	12.5	0.1	1.1	1	0	0	1	1	1	0	activase_YjjW: glycine radical enzyme activase, YjjW family
TIGR00932	TIGR00932	NP_414589.1	-	7.5e-97	322.1	33.3	1.1e-94	315.0	27.3	2.2	2	0	0	2	2	2	2	2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family
TIGR03026	TIGR03026	NP_414589.1	-	0.036	10.8	0.0	0.053	10.2	0.0	1.2	1	0	0	1	1	1	0	NDP-sugDHase: nucleotide sugar dehydrogenase
TIGR00668	TIGR00668	NP_414591.1	-	1.7e-168	557.1	0.0	1.9e-168	557.0	0.0	1.0	1	0	0	1	1	1	1	apaH: bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
TIGR04075	TIGR04075	NP_414591.1	-	4.1e-15	53.0	0.3	8.7e-10	35.3	0.1	2.6	2	1	0	2	2	2	2	bacter_Pnkp: polynucleotide kinase-phosphatase
TIGR00755	TIGR00755	NP_414593.1	-	4.8e-90	299.3	0.0	5.4e-90	299.1	0.0	1.0	1	0	0	1	1	1	1	ksgA: ribosomal RNA small subunit methyltransferase A
TIGR00557	TIGR00557	NP_414594.1	-	7e-132	437.6	0.1	8e-132	437.5	0.1	1.0	1	0	0	1	1	1	1	pdxA: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA
TIGR02933	TIGR02933	NP_414595.1	-	5.8e-28	96.4	0.9	9.9e-16	56.3	0.0	2.2	1	1	1	2	2	2	2	nifM_nitrog: nitrogen fixation protein NifM
TIGR00115	TIGR00115	NP_414595.1	-	1.2e-05	22.3	1.7	2.4e-05	21.3	1.7	1.5	1	0	0	1	1	1	1	tig: trigger factor
TIGR00093	TIGR00093	NP_414595.1	-	0.019	12.7	0.4	0.042	11.6	0.3	1.6	1	1	0	1	1	1	0	TIGR00093: pseudouridine synthase
TIGR03002	TIGR03002	NP_414596.1	-	1.3e-08	32.8	0.0	3.4e-08	31.4	0.0	1.7	1	0	0	1	1	1	1	outer_YhbN_LptA: lipopolysaccharide transport periplasmic protein LptA
TIGR02349	TIGR02349	NP_414597.1	-	1.3e-08	32.6	1.7	1.3e-08	32.5	0.1	1.8	2	0	0	2	2	2	1	DnaJ_bact: chaperone protein DnaJ
TIGR03580	TIGR03580	NP_414597.1	-	0.00064	17.2	0.4	0.00086	16.8	0.4	1.2	1	0	0	1	1	1	1	EF_0832: conserved hypothetical protein EF_0832/AHA_3913
TIGR03835	TIGR03835	NP_414597.1	-	0.0007	16.0	0.1	0.00094	15.6	0.1	1.1	1	0	0	1	1	1	1	termin_org_DnaJ: terminal organelle assembly protein TopJ
TIGR00714	TIGR00714	NP_414597.1	-	0.007	14.5	0.4	0.012	13.7	0.4	1.3	1	0	0	1	1	1	1	hscB: Fe-S protein assembly co-chaperone HscB
