#target name	accession	query name	accession	full sequence E-value	full sequence score	full sequence bias	best 1 domain E-value	best 1 domain score	best 1 domain bias	domain number estimation exp	domain number estimation reg	domain number estimation clu	domain number estimation ov	domain number estimation env	domain number estimation dom	domain number estimation rep	domain number estimation inc	description of target
TIGR02385	TIGR02385	YP_002418675.1	-	3.4e-08	31.8	0.0	4.5e-08	31.5	0.0	1.2	1	0	0	1	1	1	1	RelE_StbE: addiction module toxin, RelE/StbE family
TIGR02982	TIGR02982	YP_002418675.1	-	0.0044	14.6	0.0	0.0048	14.4	0.0	1.1	1	0	0	1	1	1	1	heterocyst_DevA: ABC exporter ATP-binding subunit, DevA family
TIGR02211	TIGR02211	YP_002418675.1	-	0.0057	14.1	0.0	0.0062	14.0	0.0	1.1	1	0	0	1	1	1	1	LolD_lipo_ex: lipoprotein releasing system, ATP-binding protein
TIGR00053	TIGR00053	YP_002418675.1	-	0.012	14.3	0.0	0.012	14.2	0.0	1.2	1	1	0	1	1	1	0	TIGR00053: addiction module toxin component, YafQ family
TIGR04406	TIGR04406	YP_002418675.1	-	0.033	11.5	0.0	0.036	11.3	0.0	1.1	1	0	0	1	1	1	0	LPS_export_lptB: LPS export ABC transporter ATP-binding protein
TIGR02384	TIGR02384	YP_002418676.1	-	4.5e-06	24.8	0.5	6.8e-06	24.2	0.5	1.2	1	0	0	1	1	1	1	RelB_DinJ: addiction module antitoxin, RelB/DinJ family
TIGR01550	TIGR01550	YP_002418682.1	-	9.6e-25	85.1	0.0	1.1e-24	84.9	0.0	1.0	1	0	0	1	1	1	1	DOC_P1: death-on-curing family protein
TIGR01552	TIGR01552	YP_002418683.1	-	1.2e-05	22.5	0.0	1.7e-05	22.1	0.0	1.3	1	0	0	1	1	1	1	phd_fam: prevent-host-death family protein
TIGR01728	TIGR01728	YP_002418696.1	-	5.4e-51	171.5	7.7	6.1e-51	171.3	7.7	1.0	1	0	0	1	1	1	1	SsuA_fam: ABC transporter, substrate-binding protein, aliphatic sulfonates family
TIGR01729	TIGR01729	YP_002418696.1	-	7.4e-20	69.5	4.3	1e-19	69.0	4.3	1.1	1	0	0	1	1	1	1	taurine_ABC_bnd: taurine ABC transporter, periplasmic binding protein
TIGR01098	TIGR01098	YP_002418696.1	-	2.9e-08	31.5	5.7	1.4e-06	26.0	1.8	2.6	1	1	1	2	2	2	2	3A0109s03R: phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein
TIGR03427	TIGR03427	YP_002418696.1	-	6.6e-08	30.0	5.4	8.4e-08	29.7	5.4	1.1	1	0	0	1	1	1	1	ABC_peri_uca: ABC transporter periplasmic binding protein, urea carboxylase region
TIGR01096	TIGR01096	YP_002418696.1	-	0.0024	15.3	0.7	0.013	13.0	0.4	2.1	1	1	1	2	2	2	2	3A0103s03R: lysine-arginine-ornithine-binding periplasmic protein
TIGR01299	TIGR01299	YP_002418700.1	-	0.00011	18.2	12.5	0.0022	13.9	0.6	2.0	1	1	1	2	2	2	2	synapt_SV2: synaptic vesicle protein SV2
TIGR04268	TIGR04268	YP_002418704.1	-	1.4	7.3	10.1	0.03	12.6	1.4	2.8	3	0	0	3	3	3	0	FxSxx-COOH: FXSXX-COOH protein
TIGR03371	TIGR03371	YP_002418708.1	-	0.00081	16.9	0.1	0.4	8.1	0.0	2.1	1	1	1	2	2	2	2	cellulose_yhjQ: cellulose synthase operon protein YhjQ
TIGR03453	TIGR03453	YP_002418708.1	-	0.0024	14.7	0.0	0.0045	13.8	0.0	1.4	1	1	0	1	1	1	1	partition_RepA: plasmid partitioning protein RepA
TIGR01968	TIGR01968	YP_002418708.1	-	0.0039	14.5	2.1	0.02	12.2	0.9	2.1	1	1	1	2	2	2	1	minD_bact: septum site-determining protein MinD
TIGR01969	TIGR01969	YP_002418708.1	-	0.089	9.9	2.1	0.33	8.0	0.7	2.1	1	1	1	2	2	2	0	minD_arch: cell division ATPase MinD
TIGR03739	TIGR03739	YP_002418710.1	-	1.1e-05	22.6	0.2	2e-05	21.7	0.2	1.5	1	1	0	1	1	1	1	PRTRC_D: PRTRC system protein D
TIGR02350	TIGR02350	YP_002418710.1	-	0.004	13.5	0.6	0.47	6.7	0.0	2.5	3	0	0	3	3	3	2	prok_dnaK: chaperone protein DnaK
TIGR01968	TIGR01968	YP_002418710.1	-	0.019	12.2	1.5	0.079	10.2	1.4	2.0	1	1	0	1	1	1	0	minD_bact: septum site-determining protein MinD
TIGR01784	TIGR01784	YP_002418719.1	-	1.4e-53	180.4	0.0	3.6e-53	179.1	0.0	1.6	1	1	0	1	1	1	1	T_den_put_tspse: conserved hypothetical protein
TIGR01784	TIGR01784	YP_002418720.1	-	6.5e-09	33.9	0.1	7.4e-09	33.8	0.1	1.0	1	0	0	1	1	1	1	T_den_put_tspse: conserved hypothetical protein
TIGR03452	TIGR03452	YP_002418724.1	-	0.0035	14.2	0.0	0.0041	14.0	0.0	1.0	1	0	0	1	1	1	1	mycothione_red: mycothione reductase
TIGR02794	TIGR02794	YP_002418726.1	-	1.7e-12	45.2	0.0	1.9e-12	45.1	0.0	1.0	1	0	0	1	1	1	1	tolA_full: protein TolA
TIGR01352	TIGR01352	YP_002418733.1	-	1.1e-19	68.5	0.0	1.9e-19	67.8	0.0	1.4	1	0	0	1	1	1	1	tonB_Cterm: TonB family C-terminal domain
TIGR02794	TIGR02794	YP_002418733.1	-	2.2e-13	48.2	1.3	2.5e-07	28.2	0.9	2.0	1	1	1	2	2	2	2	tolA_full: protein TolA
TIGR01785	TIGR01785	YP_002418734.1	-	3e-76	255.2	18.3	1.1e-75	253.4	18.3	1.7	1	1	0	1	1	1	1	TonB-hemin: TonB-dependent heme/hemoglobin receptor family protein
TIGR01786	TIGR01786	YP_002418734.1	-	4.3e-65	218.3	14.0	5.6e-62	208.0	14.0	2.0	1	1	0	1	1	1	1	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
TIGR01783	TIGR01783	YP_002418734.1	-	4.3e-12	43.4	17.2	2.5e-07	27.6	4.4	3.4	2	1	0	2	2	2	2	TonB-siderophor: TonB-dependent siderophore receptor
TIGR01776	TIGR01776	YP_002418734.1	-	3.8e-11	39.6	14.6	6.1e-09	32.3	6.2	3.6	4	0	0	4	4	4	3	TonB-tbp-lbp: TonB-dependent lactoferrin and transferrin receptors
TIGR01778	TIGR01778	YP_002418734.1	-	4.6e-10	36.8	0.2	7.4e-08	29.5	0.0	2.7	3	0	0	3	3	3	2	TonB-copper: TonB-dependent copper receptor
TIGR03866	TIGR03866	YP_002418735.1	-	3.8e-09	34.0	0.0	9.3e-05	19.6	0.0	3.2	1	1	3	4	4	4	4	PQQ_ABC_repeats: PQQ-dependent catabolism-associated beta-propeller protein
TIGR02276	TIGR02276	YP_002418735.1	-	0.00021	19.2	0.3	0.00021	19.2	0.3	3.5	5	0	0	5	5	5	1	beta_rpt_yvtn: 40-residue YVTN family beta-propeller repeat
TIGR04484	TIGR04484	YP_002418763.1	-	0.036	11.3	0.0	0.046	11.0	0.0	1.1	1	0	0	1	1	1	0	thiosulf_SoxA: sulfur oxidation c-type cytochrome SoxA
TIGR01710	TIGR01710	YP_002418775.1	-	1.8e-06	26.0	0.2	2.7e-06	25.4	0.2	1.4	1	1	0	1	1	1	1	typeII_sec_gspG: type II secretion system protein G
TIGR01708	TIGR01708	YP_002418775.1	-	0.0022	15.8	0.0	0.0027	15.5	0.0	1.2	1	0	0	1	1	1	1	typeII_sec_gspH: type II secretion system protein H
TIGR02532	TIGR02532	YP_002418775.1	-	0.0042	14.9	2.9	0.0077	14.1	2.9	1.5	1	0	0	1	1	1	1	IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain
TIGR01707	TIGR01707	YP_002418775.1	-	0.0063	15.0	0.1	0.01	14.3	0.1	1.4	1	0	0	1	1	1	1	gspI: type II secretion system protein I
TIGR04440	TIGR04440	YP_002418779.1	-	0.036	11.7	0.0	0.038	11.7	0.0	1.1	1	0	0	1	1	1	0	glyco_TIGR04440: glycosyltransferase domain
TIGR02385	TIGR02385	YP_002418780.1	-	1.3e-09	36.4	0.3	1.5e-09	36.2	0.3	1.1	1	0	0	1	1	1	1	RelE_StbE: addiction module toxin, RelE/StbE family
TIGR01784	TIGR01784	YP_002756620.1	-	6.5e-09	33.9	0.1	7.4e-09	33.8	0.1	1.0	1	0	0	1	1	1	1	T_den_put_tspse: conserved hypothetical protein
TIGR04484	TIGR04484	YP_002756684.1	-	0.036	11.3	0.0	0.046	11.0	0.0	1.1	1	0	0	1	1	1	0	thiosulf_SoxA: sulfur oxidation c-type cytochrome SoxA
TIGR01352	TIGR01352	YP_003162520.1	-	1.1e-19	68.5	0.0	1.9e-19	67.8	0.0	1.4	1	0	0	1	1	1	1	tonB_Cterm: TonB family C-terminal domain
TIGR02794	TIGR02794	YP_003162520.1	-	2.2e-13	48.2	1.3	2.5e-07	28.2	0.9	2.0	1	1	1	2	2	2	2	tolA_full: protein TolA
TIGR01785	TIGR01785	YP_003162521.1	-	3e-76	255.2	18.3	1.1e-75	253.4	18.3	1.7	1	1	0	1	1	1	1	TonB-hemin: TonB-dependent heme/hemoglobin receptor family protein
TIGR01786	TIGR01786	YP_003162521.1	-	4.3e-65	218.3	14.0	5.6e-62	208.0	14.0	2.0	1	1	0	1	1	1	1	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
TIGR01783	TIGR01783	YP_003162521.1	-	4.3e-12	43.4	17.2	2.5e-07	27.6	4.4	3.4	2	1	0	2	2	2	2	TonB-siderophor: TonB-dependent siderophore receptor
TIGR01776	TIGR01776	YP_003162521.1	-	3.8e-11	39.6	14.6	6.1e-09	32.3	6.2	3.6	4	0	0	4	4	4	3	TonB-tbp-lbp: TonB-dependent lactoferrin and transferrin receptors
TIGR01778	TIGR01778	YP_003162521.1	-	4.6e-10	36.8	0.2	7.4e-08	29.5	0.0	2.7	3	0	0	3	3	3	2	TonB-copper: TonB-dependent copper receptor
TIGR03866	TIGR03866	YP_003162522.1	-	3.8e-09	34.0	0.0	9.3e-05	19.6	0.0	3.2	1	1	3	4	4	4	4	PQQ_ABC_repeats: PQQ-dependent catabolism-associated beta-propeller protein
TIGR02276	TIGR02276	YP_003162522.1	-	0.00021	19.2	0.3	0.00021	19.2	0.3	3.5	5	0	0	5	5	5	1	beta_rpt_yvtn: 40-residue YVTN family beta-propeller repeat
TIGR04484	TIGR04484	YP_003864335.1	-	0.036	11.3	0.0	0.046	11.0	0.0	1.1	1	0	0	1	1	1	0	thiosulf_SoxA: sulfur oxidation c-type cytochrome SoxA
TIGR04484	TIGR04484	YP_004119689.1	-	0.036	11.3	0.0	0.046	11.0	0.0	1.1	1	0	0	1	1	1	0	thiosulf_SoxA: sulfur oxidation c-type cytochrome SoxA
TIGR02385	TIGR02385	YP_006903495.1	-	3.4e-08	31.8	0.0	4.5e-08	31.5	0.0	1.2	1	0	0	1	1	1	1	RelE_StbE: addiction module toxin, RelE/StbE family
TIGR02982	TIGR02982	YP_006903495.1	-	0.0044	14.6	0.0	0.0048	14.4	0.0	1.1	1	0	0	1	1	1	1	heterocyst_DevA: ABC exporter ATP-binding subunit, DevA family
TIGR02211	TIGR02211	YP_006903495.1	-	0.0057	14.1	0.0	0.0062	14.0	0.0	1.1	1	0	0	1	1	1	1	LolD_lipo_ex: lipoprotein releasing system, ATP-binding protein
TIGR00053	TIGR00053	YP_006903495.1	-	0.012	14.3	0.0	0.012	14.2	0.0	1.2	1	1	0	1	1	1	0	TIGR00053: addiction module toxin component, YafQ family
TIGR04406	TIGR04406	YP_006903495.1	-	0.033	11.5	0.0	0.036	11.3	0.0	1.1	1	0	0	1	1	1	0	LPS_export_lptB: LPS export ABC transporter ATP-binding protein
TIGR03371	TIGR03371	YP_006903413.1	-	0.00081	16.9	0.1	0.4	8.1	0.0	2.1	1	1	1	2	2	2	2	cellulose_yhjQ: cellulose synthase operon protein YhjQ
TIGR03453	TIGR03453	YP_006903413.1	-	0.0024	14.7	0.0	0.0045	13.8	0.0	1.4	1	1	0	1	1	1	1	partition_RepA: plasmid partitioning protein RepA
TIGR01968	TIGR01968	YP_006903413.1	-	0.0039	14.5	2.1	0.02	12.2	0.9	2.1	1	1	1	2	2	2	1	minD_bact: septum site-determining protein MinD
TIGR01969	TIGR01969	YP_006903413.1	-	0.089	9.9	2.1	0.33	8.0	0.7	2.1	1	1	1	2	2	2	0	minD_arch: cell division ATPase MinD
TIGR02794	TIGR02794	YP_006940086.1	-	1.7e-12	45.2	0.0	1.9e-12	45.1	0.0	1.0	1	0	0	1	1	1	1	tolA_full: protein TolA
TIGR04484	TIGR04484	YP_006940131.1	-	0.036	11.3	0.0	0.046	11.0	0.0	1.1	1	0	0	1	1	1	0	thiosulf_SoxA: sulfur oxidation c-type cytochrome SoxA
TIGR03371	TIGR03371	YP_006952312.1	-	0.00081	16.9	0.1	0.4	8.1	0.0	2.1	1	1	1	2	2	2	2	cellulose_yhjQ: cellulose synthase operon protein YhjQ
TIGR03453	TIGR03453	YP_006952312.1	-	0.0024	14.7	0.0	0.0045	13.8	0.0	1.4	1	1	0	1	1	1	1	partition_RepA: plasmid partitioning protein RepA
TIGR01968	TIGR01968	YP_006952312.1	-	0.0039	14.5	2.1	0.02	12.2	0.9	2.1	1	1	1	2	2	2	1	minD_bact: septum site-determining protein MinD
TIGR01969	TIGR01969	YP_006952312.1	-	0.089	9.9	2.1	0.33	8.0	0.7	2.1	1	1	1	2	2	2	0	minD_arch: cell division ATPase MinD
TIGR00295	TIGR00295	WP_000813854.1	-	0.00056	17.7	0.0	0.00074	17.3	0.0	1.2	1	0	0	1	1	1	1	TIGR00295: TIGR00295 family protein
TIGR00277	TIGR00277	WP_000813854.1	-	0.00072	17.4	0.1	0.0016	16.3	0.1	1.5	1	0	0	1	1	1	1	HDIG: HDIG domain
TIGR03319	TIGR03319	WP_000813854.1	-	0.015	11.7	0.1	0.017	11.6	0.1	1.2	1	0	0	1	1	1	0	RNase_Y: ribonuclease Y
TIGR02720	TIGR02720	WP_000815387.1	-	8.1e-112	372.4	0.0	1e-111	372.0	0.0	1.0	1	0	0	1	1	1	1	pyruv_oxi_spxB: pyruvate oxidase
TIGR00118	TIGR00118	WP_000815387.1	-	3.7e-96	320.7	0.0	4.7e-96	320.4	0.0	1.0	1	0	0	1	1	1	1	acolac_lg: acetolactate synthase, large subunit, biosynthetic type
TIGR03457	TIGR03457	WP_000815387.1	-	1.3e-67	226.4	0.1	7.5e-67	223.9	0.1	1.8	1	1	0	1	1	1	1	sulphoacet_xsc: sulfoacetaldehyde acetyltransferase
TIGR02418	TIGR02418	WP_000815387.1	-	2.4e-67	225.6	0.0	2.9e-67	225.3	0.0	1.0	1	0	0	1	1	1	1	acolac_catab: acetolactate synthase, catabolic
TIGR01504	TIGR01504	WP_000815387.1	-	5.8e-46	155.2	0.5	2e-45	153.4	0.5	1.7	1	1	0	1	1	1	1	glyox_carbo_lig: glyoxylate carboligase
TIGR04377	TIGR04377	WP_000815387.1	-	1.4e-42	144.1	0.0	2.5e-42	143.3	0.0	1.3	1	0	0	1	1	1	1	myo_inos_iolD: 3,5/4-trihydroxycyclohexa-1,2-dione hydrolase
TIGR03254	TIGR03254	WP_000815387.1	-	1e-33	114.9	0.0	1.4e-33	114.4	0.0	1.1	1	0	0	1	1	1	1	oxalate_oxc: oxalyl-CoA decarboxylase
TIGR03394	TIGR03394	WP_000815387.1	-	1.2e-24	85.0	0.8	1.6e-24	84.6	0.8	1.1	1	0	0	1	1	1	1	indol_phenyl_DC: indolepyruvate/phenylpyruvate decarboxylase
TIGR03393	TIGR03393	WP_000815387.1	-	2.3e-23	80.6	0.4	1.1e-22	78.4	0.4	1.9	1	1	0	1	1	1	1	indolpyr_decarb: indolepyruvate decarboxylase
TIGR03297	TIGR03297	WP_000815387.1	-	1.7e-14	51.5	0.3	3.6e-14	50.5	0.1	1.6	2	0	0	2	2	2	1	Ppyr-DeCO2ase: phosphonopyruvate decarboxylase
TIGR03846	TIGR03846	WP_000815387.1	-	1.6e-10	39.2	0.0	3.5e-10	38.0	0.0	1.5	1	0	0	1	1	1	1	sulfopy_beta: sulfopyruvate decarboxylase, beta subunit
TIGR03336	TIGR03336	WP_000815387.1	-	9.2e-05	18.9	0.0	0.00015	18.2	0.0	1.2	1	0	0	1	1	1	1	IOR_alpha: indolepyruvate ferredoxin oxidoreductase, alpha subunit
TIGR02177	TIGR02177	WP_000815387.1	-	0.001	16.6	0.0	0.0023	15.4	0.0	1.6	1	0	0	1	1	1	1	PorB_KorB: 2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family
TIGR03181	TIGR03181	WP_000815387.1	-	0.029	11.2	0.2	0.1	9.4	0.2	1.8	1	1	0	1	1	1	0	PDH_E1_alph_x: pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit
TIGR03866	TIGR03866	WP_000815414.1	-	3.1e-06	24.4	0.0	0.024	11.6	0.0	3.3	1	1	2	3	3	3	3	PQQ_ABC_repeats: PQQ-dependent catabolism-associated beta-propeller protein
TIGR04246	TIGR04246	WP_000815414.1	-	5.6e-06	22.8	0.1	0.0027	14.0	0.0	3.0	1	1	2	3	3	3	3	nitrous_NosZ_Gp: nitrous-oxide reductase, Sec-dependent
TIGR01161	TIGR01161	WP_000815579.1	-	4e-118	392.8	0.0	3.1e-117	389.8	0.0	1.9	1	1	0	1	1	1	1	purK: phosphoribosylaminoimidazole carboxylase, ATPase subunit
TIGR01142	TIGR01142	WP_000815579.1	-	2.8e-18	63.9	0.0	6.2e-18	62.8	0.0	1.5	1	1	0	1	1	1	1	purT: phosphoribosylglycinamide formyltransferase 2
TIGR03284	TIGR03284	WP_000816232.1	-	2.3e-137	455.0	0.2	8.1e-94	312.0	0.0	2.0	1	1	1	2	2	2	2	thym_sym: thymidylate synthase
TIGR03283	TIGR03283	WP_000816232.1	-	4.1e-15	53.8	0.0	6.5e-15	53.1	0.0	1.3	1	0	0	1	1	1	1	thy_syn_methano: thymidylate synthase, methanogen type
TIGR01163	TIGR01163	WP_000816280.1	-	1.7e-96	319.6	0.1	1.9e-96	319.4	0.1	1.0	1	0	0	1	1	1	1	rpe: ribulose-phosphate 3-epimerase
TIGR03128	TIGR03128	WP_000816280.1	-	4.6e-07	27.6	0.1	5.6e-05	20.8	0.0	2.1	2	0	0	2	2	2	2	RuMP_HxlA: 3-hexulose-6-phosphate synthase
TIGR00078	TIGR00078	WP_000816280.1	-	3.4e-05	21.2	0.1	0.023	11.9	0.0	2.4	2	1	1	3	3	3	2	nadC: nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR00693	TIGR00693	WP_000816280.1	-	0.0007	16.9	0.0	0.0038	14.4	0.0	1.9	2	0	0	2	2	2	1	thiE: thiamine-phosphate diphosphorylase
TIGR01334	TIGR01334	WP_000816280.1	-	0.0059	14.1	0.0	0.01	13.3	0.0	1.3	1	0	0	1	1	1	1	modD: modD protein
TIGR01768	TIGR01768	WP_000816280.1	-	0.017	12.6	0.8	0.052	11.0	0.1	2.0	2	1	0	2	2	2	0	GGGP-family: geranylgeranylglyceryl phosphate synthase family protein
TIGR01696	TIGR01696	WP_000816471.1	-	1.4e-210	696.9	0.0	1.5e-210	696.7	0.0	1.0	1	0	0	1	1	1	1	deoB: phosphopentomutase
TIGR00306	TIGR00306	WP_000816471.1	-	2.2e-07	28.4	0.0	3e-07	27.9	0.0	1.1	1	0	0	1	1	1	1	apgM: phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form
TIGR03150	TIGR03150	WP_000817178.1	-	7.4e-115	381.8	8.4	8.5e-115	381.6	8.4	1.0	1	0	0	1	1	1	1	fabF: beta-ketoacyl-acyl-carrier-protein synthase II
TIGR02813	TIGR02813	WP_000817178.1	-	6e-21	70.9	7.0	9.4e-21	70.2	7.0	1.2	1	0	0	1	1	1	1	omega_3_PfaA: polyketide-type polyunsaturated fatty acid synthase PfaA
TIGR01930	TIGR01930	WP_000817178.1	-	1.3e-05	22.2	0.3	2.6e-05	21.3	0.3	1.6	1	0	0	1	1	1	1	AcCoA-C-Actrans: acetyl-CoA C-acyltransferase
